id,cd_sig,code_10km,id_gps_data,id_device,gps_date,ttf,temperature,sat_number,hdop,latitude,longitude,altitude,dimension,accurate
349,1kmL93E984N6345,E984N6345,,,,,,,,,,,,
350,1kmL93E984N6346,E984N6346,,,,,,,,,,,,
351,1kmL93E984N6347,E984N6347,,,,,,,,,,,,
352,1kmL93E984N6348,E984N6348,,,,,,,,,,,,
353,1kmL93E984N6349,E984N6349,,,,,,,,,,,,
354,1kmL93E984N6350,E984N6350,,,,,,,,,,,,
355,1kmL93E984N6351,E984N6351,,,,,,,,,,,,
356,1kmL93E984N6352,E984N6352,,,,,,,,,,,,
357,1kmL93E984N6353,E984N6353,,,,,,,,,,,,
358,1kmL93E984N6354,E984N6354,,,,,,,,,,,,
359,1kmL93E984N6355,E984N6355,,,,,,,,,,,,
360,1kmL93E984N6356,E984N6356,,,,,,,,,,,,
361,1kmL93E984N6357,E984N6357,,,,,,,,,,,,
362,1kmL93E984N6358,E984N6358,,,,,,,,,,,,
363,1kmL93E984N6359,E984N6359,,,,,,,,,,,,
364,1kmL93E984N6360,E984N6360,,,,,,,,,,,,
365,1kmL93E984N6361,E984N6361,,,,,,,,,,,,
366,1kmL93E984N6362,E984N6362,,,,,,,,,,,,
367,1kmL93E984N6363,E984N6363,,,,,,,,,,,,
368,1kmL93E984N6364,E984N6364,,,,,,,,,,,,
369,1kmL93E984N6365,E984N6365,,,,,,,,,,,,
370,1kmL93E984N6366,E984N6366,,,,,,,,,,,,
371,1kmL93E984N6367,E984N6367,,,,,,,,,,,,
372,1kmL93E984N6368,E984N6368,,,,,,,,,,,,
373,1kmL93E984N6369,E984N6369,,,,,,,,,,,,
374,1kmL93E984N6370,E984N6370,,,,,,,,,,,,
375,1kmL93E984N6371,E984N6371,,,,,,,,,,,,
376,1kmL93E984N6372,E984N6372,,,,,,,,,,,,
377,1kmL93E984N6373,E984N6373,,,,,,,,,,,,
378,1kmL93E984N6374,E984N6374,,,,,,,,,,,,
379,1kmL93E984N6375,E984N6375,,,,,,,,,,,,
380,1kmL93E984N6376,E984N6376,,,,,,,,,,,,
381,1kmL93E984N6377,E984N6377,,,,,,,,,,,,
382,1kmL93E984N6378,E984N6378,,,,,,,,,,,,
383,1kmL93E984N6379,E984N6379,,,,,,,,,,,,
384,1kmL93E984N6380,E984N6380,,,,,,,,,,,,
385,1kmL93E984N6381,E984N6381,,,,,,,,,,,,
386,1kmL93E984N6382,E984N6382,,,,,,,,,,,,
387,1kmL93E984N6383,E984N6383,,,,,,,,,,,,
388,1kmL93E984N6384,E984N6384,,,,,,,,,,,,
389,1kmL93E984N6385,E984N6385,,,,,,,,,,,,
390,1kmL93E984N6386,E984N6386,,,,,,,,,,,,
391,1kmL93E985N6337,E985N6337,,,,,,,,,,,,
392,1kmL93E985N6338,E985N6338,,,,,,,,,,,,
393,1kmL93E985N6339,E985N6339,,,,,,,,,,,,
394,1kmL93E985N6340,E985N6340,,,,,,,,,,,,
395,1kmL93E985N6341,E985N6341,,,,,,,,,,,,
396,1kmL93E985N6342,E985N6342,,,,,,,,,,,,
397,1kmL93E985N6343,E985N6343,,,,,,,,,,,,
398,1kmL93E985N6344,E985N6344,,,,,,,,,,,,
399,1kmL93E985N6345,E985N6345,,,,,,,,,,,,
400,1kmL93E985N6346,E985N6346,,,,,,,,,,,,
401,1kmL93E985N6347,E985N6347,,,,,,,,,,,,
402,1kmL93E985N6348,E985N6348,,,,,,,,,,,,
403,1kmL93E985N6349,E985N6349,,,,,,,,,,,,
404,1kmL93E985N6350,E985N6350,,,,,,,,,,,,
405,1kmL93E985N6351,E985N6351,,,,,,,,,,,,
406,1kmL93E985N6352,E985N6352,,,,,,,,,,,,
407,1kmL93E985N6353,E985N6353,,,,,,,,,,,,
408,1kmL93E985N6354,E985N6354,,,,,,,,,,,,
409,1kmL93E985N6355,E985N6355,,,,,,,,,,,,
410,1kmL93E985N6356,E985N6356,,,,,,,,,,,,
411,1kmL93E985N6357,E985N6357,,,,,,,,,,,,
412,1kmL93E985N6358,E985N6358,,,,,,,,,,,,
413,1kmL93E985N6359,E985N6359,,,,,,,,,,,,
414,1kmL93E985N6360,E985N6360,,,,,,,,,,,,
415,1kmL93E985N6361,E985N6361,,,,,,,,,,,,
416,1kmL93E985N6362,E985N6362,,,,,,,,,,,,
417,1kmL93E985N6363,E985N6363,,,,,,,,,,,,
418,1kmL93E985N6364,E985N6364,,,,,,,,,,,,
419,1kmL93E985N6365,E985N6365,,,,,,,,,,,,
420,1kmL93E985N6366,E985N6366,,,,,,,,,,,,
421,1kmL93E985N6367,E985N6367,,,,,,,,,,,,
422,1kmL93E985N6368,E985N6368,,,,,,,,,,,,
423,1kmL93E985N6369,E985N6369,,,,,,,,,,,,
424,1kmL93E985N6370,E985N6370,,,,,,,,,,,,
425,1kmL93E985N6371,E985N6371,,,,,,,,,,,,
426,1kmL93E985N6372,E985N6372,,,,,,,,,,,,
427,1kmL93E985N6373,E985N6373,,,,,,,,,,,,
428,1kmL93E985N6374,E985N6374,,,,,,,,,,,,
429,1kmL93E985N6375,E985N6375,,,,,,,,,,,,
430,1kmL93E985N6376,E985N6376,,,,,,,,,,,,
431,1kmL93E985N6377,E985N6377,,,,,,,,,,,,
432,1kmL93E985N6378,E985N6378,,,,,,,,,,,,
433,1kmL93E985N6379,E985N6379,,,,,,,,,,,,
434,1kmL93E985N6380,E985N6380,,,,,,,,,,,,
435,1kmL93E985N6381,E985N6381,,,,,,,,,,,,
436,1kmL93E985N6382,E985N6382,,,,,,,,,,,,
437,1kmL93E985N6383,E985N6383,,,,,,,,,,,,
438,1kmL93E985N6384,E985N6384,,,,,,,,,,,,
439,1kmL93E985N6385,E985N6385,,,,,,,,,,,,
440,1kmL93E985N6386,E985N6386,,,,,,,,,,,,
441,1kmL93E985N6387,E985N6387,,,,,,,,,,,,
442,1kmL93E986N6335,E986N6335,,,,,,,,,,,,
443,1kmL93E986N6336,E986N6336,,,,,,,,,,,,
